TransactionID,Date,DepartmentID,CategoryID,Vendor,Amount,PaymentMethod,ApprovalStatus
TXN101527,2023-03-01,D07,C04,Amazon Business,57422.43,Bank Transfer,Approved
TXN107412,2024-02-20,D02,C06,Coursera Business,35668.65,UPI,Approved
TXN106436,2023-12-15,D04,C10,Petty Cash,31725.22,Corporate Card,Approved
TXN102530,2023-05-23,D05,C04,Office Depot,432.6,UPI,Approved
TXN100049,2023-01-19,D01,C06,Udemy Business,8753.98,Bank Transfer,Approved
TXN116310,2025-05-13,D08,C01,ADP Payroll Services,19234.4,Bank Transfer,Approved
TXN114214,2025-02-03,D02,C04,Amazon Business,10506.6,UPI,Approved
TXN111089,2024-08-28,D06,C01,ADP Payroll Services,101900.05,Corporate Card,Approved
TXN100449,2023-01-31,D07,C08,EY Advisory,24375.23,Cheque,Approved
TXN108632,2024-04-05,D02,C09,Dell Technologies,64253.6,UPI,Approved
TXN119321,2025-11-04,D02,C07,Airtel Business,122611.03,Cheque,Approved
TXN116585,2025-06-10,D03,C09,Dell Technologies,62872.78,Corporate Card,Approved
TXN102288,2023-05-11,D02,C04,Office Depot,7942.91,UPI,Approved
TXN117560,2025-08-22,D01,C07,Airtel Business,3156.28,Bank Transfer,Approved
TXN109011,2024-04-16,D08,C06,Internal Training Team,5403.73,Cheque,Approved
TXN111438,2024-09-20,D03,C04,Staples India,56443.11,UPI,Approved
TXN114142,2025-02-12,D01,C03,Salesforce,85538.17,Bank Transfer,Approved
TXN104216,2023-08-15,D05,C06,NIIT,13280.32,UPI,Approved
TXN118858,2025-10-31,D03,C06,Coursera Business,483.37,Cheque,Approved
TXN116517,2025-06-02,D03,C02,Ola Corporate,14873.14,Corporate Card,Approved
TXN104234,2023-08-07,D05,C09,Dell Technologies,60066.8,Cheque,Approved
TXN112975,2024-12-20,D01,C02,MakeMyTrip Business,25908.58,UPI,Approved
TXN107466,2024-02-14,D03,C05,Google Ads,6698.69,Cheque,Approved
TXN118623,2025-09-16,D08,C04,Staples India,86377.13,UPI,Approved
TXN114838,2025-03-14,D02,C09,HP Enterprise,4969.71,Corporate Card,Approved
TXN117550,2025-08-06,D01,C05,Google Ads,44707.99,Bank Transfer,Approved
TXN111125,2024-08-29,D06,C06,Coursera Business,21511.23,Corporate Card,Approved
TXN109071,2024-05-28,D01,C04,Office Depot,6786.29,Corporate Card,Approved
TXN105026,2023-09-18,D08,C10,Sundry Vendor,10728.95,Corporate Card,Approved
TXN109757,2024-06-21,D02,C09,HP Enterprise,60211.85,UPI,Approved
TXN119032,2025-10-01,D06,C01,Internal Payroll,1191.81,Corporate Card,Approved
TXN112742,2024-11-26,D05,C09,Dell Technologies,78735.18,Cheque,Approved
TXN110153,2024-06-07,D08,C04,Staples India,64473.73,Corporate Card,Approved
TXN109573,2024-05-31,D08,C04,Office Depot,14677.25,UPI,Approved
TXN117977,2025-08-14,D07,C07,State Electricity Board,153840.53,Bank Transfer,Approved
TXN105327,2023-10-30,D05,C07,Airtel Business,60961.91,Cheque,Approved
TXN111149,2024-08-08,D06,C09,HP Enterprise,12888.82,Cheque,Approved
TXN112114,2024-10-18,D05,C01,Internal Payroll,11116.8,Cheque,Approved
TXN101061,2023-02-13,D08,C06,Internal Training Team,10756.79,Corporate Card,Approved
TXN115450,2025-04-11,D03,C09,HP Enterprise,48079.78,UPI,Approved
TXN109149,2024-05-06,D02,C05,HubSpot,24196.05,Cheque,Approved
TXN100698,2023-02-08,D03,C04,Amazon Business,1236.57,UPI,Approved
TXN113889,2025-01-23,D05,C08,EY Advisory,28903.2,Corporate Card,Approved
TXN107977,2024-03-25,D02,C03,Google Workspace,177180.46,Cheque,Approved
TXN100422,2023-01-02,D07,C04,Staples India,15419.5,Corporate Card,Approved
TXN101872,2023-04-14,D04,C03,Google Workspace,24473.58,Corporate Card,Approved
TXN106137,2023-11-10,D08,C10,Sundry Vendor,49536.97,Bank Transfer,Approved
TXN109559,2024-05-31,D08,C03,AWS,25125.84,Cheque,Approved
TXN117227,2025-07-16,D04,C06,Coursera Business,32167.28,Bank Transfer,Approved
TXN108078,2024-03-05,D03,C07,Jio Business,266492.09,Corporate Card,Approved
TXN108533,2024-04-22,D01,C06,Udemy Business,1320.79,Corporate Card,Approved
TXN113025,2024-12-27,D01,C07,Airtel Business,12228.69,Cheque,Rejected
TXN107013,2024-01-11,D05,C03,AWS,34517.34,Cheque,Approved
TXN103425,2023-07-14,D02,C02,Indigo Airlines,33388.08,Cheque,Approved
TXN102428,2023-05-04,D03,C09,Lenovo,62750.03,UPI,Approved
TXN108426,2024-03-14,D08,C05,Google Ads,117276.78,Corporate Card,Approved
TXN112067,2024-10-22,D04,C04,Office Depot,286495.63,UPI,Approved
TXN102706,2023-05-01,D07,C10,Petty Cash,126047.92,Bank Transfer,Approved
TXN119337,2025-11-11,D02,C09,Local It Vendor,113139.98,Cheque,Approved
TXN116727,2025-06-02,D05,C10,Petty Cash,8465.86,UPI,Approved
TXN106577,2023-12-06,D07,C03,Slack,502226.2,UPI,Approved
TXN101475,2023-03-29,D06,C06,Udemy Business,431513.34,Corporate Card,Approved
TXN102649,2023-05-09,D07,C01,Internal Payroll,2843.48,Cheque,Approved
TXN110105,2024-06-27,D07,C06,Internal Training Team,131936.88,Corporate Card,Approved
