MonthYear,Year,Month,Segment,Revenue,COGS
Jan-2023,2023,1,Enterprise SaaS,3823211.78,1330192.86
Jan-2023,2023,1,SMB Subscriptions,1925737.4,867268.99
Jan-2023,2023,1,Professional Services,1296568.45,835698.17
Jan-2023,2023,1,Marketplace Fees,696135.51,356634.73
Feb-2023,2023,2,Enterprise SaaS,3960812.24,1195934.02
Feb-2023,2023,2,SMB Subscriptions,1732700.49,836598.49
Feb-2023,2023,2,Professional Services,1244241.67,817932.35
Feb-2023,2023,2,Marketplace Fees,632098.77,346751.31
Mar-2023,2023,3,Enterprise SaaS,5323454.28,1801235.32
Mar-2023,2023,3,SMB Subscriptions,2300080.31,1097585.35
Mar-2023,2023,3,Professional Services,1486976.52,1065077.59
Mar-2023,2023,3,Marketplace Fees,863989.16,457441.83
Apr-2023,2023,4,Enterprise SaaS,4875572.82,1696854.91
Apr-2023,2023,4,SMB Subscriptions,1895854.91,854237.5
Apr-2023,2023,4,Professional Services,1059241.63,716773.71
Apr-2023,2023,4,Marketplace Fees,679574.99,333599.91
May-2023,2023,5,Enterprise SaaS,4030492.19,1232393.65
May-2023,2023,5,SMB Subscriptions,1844185.86,839509.15
May-2023,2023,5,Professional Services,1190377.08,782797.96
May-2023,2023,5,Marketplace Fees,644767.77,359172.45
Jun-2023,2023,6,Enterprise SaaS,3626797.76,1323944.78
Jun-2023,2023,6,SMB Subscriptions,1741012.56,810464.73
Jun-2023,2023,6,Professional Services,1186533.12,761956.26
Jun-2023,2023,6,Marketplace Fees,697235.94,374181.28
Jul-2023,2023,7,Enterprise SaaS,3949433.77,1191290.29
Jul-2023,2023,7,SMB Subscriptions,1653717.95,685630.12
Jul-2023,2023,7,Professional Services,1072865.2,711775.88
Jul-2023,2023,7,Marketplace Fees,579919.28,341766.86
Aug-2023,2023,8,Enterprise SaaS,4450109.79,1791145.81
Aug-2023,2023,8,SMB Subscriptions,1879105.63,784302.01
Aug-2023,2023,8,Professional Services,1256447.2,884132.71
Aug-2023,2023,8,Marketplace Fees,730409.81,361963.24
